lat,lon,bairro
-22.273579,-45.708971,Fernandes
-22.258423,-45.687404,Ozório Machado
-22.258912,-45.695576,Por do Sol
-22.271842,-45.711316,Novo Horizonte
-22.257293,-45.687726,Ozório Machado
-22.229181,-45.721699,Juquita
-22.26502,-45.715397,São João
-22.264547,-45.696394,Novo Horizonte
-22.250644,-45.696213,São Benedito
-22.243925,-45.717592,Eletrônica
-22.255331,-45.694268,Anchieta
-22.270637,-45.722408,Pedreira
-22.237556,-45.712692,São Benedito
-22.256941,-45.698966,Anchieta
-22.237515,-45.713645,Vista Alegre
-22.243684,-45.692129,São Roque
-22.245888,-45.701705,Maristela
-22.23941,-45.70115,Anchieta
-22.270631,-45.697117,Fernandes
-22.257872,-45.694106,Ozório Machado
-22.259848,-45.701419,Pedreira
-22.271038,-45.715755,Novo Horizonte
-22.258443,-45.692322,Por do Sol
-22.252691,-45.702751,São João
-22.246299,-45.713912,São João
-22.273652,-45.696835,Por do Sol
-22.247393,-45.701333,Pedreira
-22.259201,-45.700482,Fernandes
-22.248217,-45.723506,Eletrônica
-22.258067,-45.723996,Eletrônica
-22.267658,-45.685612,Ozório Machado
-22.26516,-45.732898,Arco-Íris
-22.246472,-45.719868,São Roque
-22.247278,-45.729359,Eletrônica
-22.242231,-45.689712,Anchieta
-22.235585,-45.702677,Maristela
-22.239435,-45.704098,Maristela
-22.279914,-45.695545,Fernandes
-22.269494,-45.694112,Pedreira
-22.247516,-45.695658,Ozório Machado
-22.242936,-45.691375,Anchieta
-22.245718,-45.695404,São Benedito
-22.2529,-45.701045,Vista Alegre
-22.258148,-45.697235,Ozório Machado
-22.268474,-45.686691,Por do Sol
-22.245113,-45.696846,Vista Alegre
-22.262215,-45.731054,Eletrônica
-22.248999,-45.689653,São Benedito
-22.250932,-45.698893,Anchieta
-22.239201,-45.684421,Vista Alegre
-22.241508,-45.69002,Anchieta
-22.245192,-45.703185,São João
-22.250651,-45.710818,Família Andrade
-22.267981,-45.697712,Fernandes
-22.251494,-45.709911,São Roque
-22.243004,-45.710728,São Roque
-22.275398,-45.716336,Família Andrade
-22.250494,-45.724966,São João
-22.243502,-45.719723,São Roque
-22.259485,-45.701967,São Roque
-22.250663,-45.71337,São Benedito
-22.250203,-45.737393,Eletrônica
-22.23102,-45.715909,Juquita
-22.257064,-45.716719,Arco-Íris
-22.253531,-45.71834,Arco-Íris
-22.245079,-45.708072,Maristela
-22.249089,-45.723873,Eletrônica
-22.244788,-45.710074,Vista Alegre
-22.271768,-45.705475,Família Andrade
-22.239109,-45.71605,Juquita
-22.261034,-45.717993,São João
-22.245519,-45.71767,Eletrônica
-22.2463,-45.735137,Eletrônica
-22.252837,-45.696232,Pedreira
-22.265098,-45.68733,Por do Sol
-22.254868,-45.751538,Eletrônica
-22.253327,-45.697944,Anchieta
-22.247055,-45.70369,Maristela
-22.233928,-45.708684,Maristela
-22.258358,-45.710584,São João
-22.25031,-45.698791,São Benedito
-22.262909,-45.709739,Novo Horizonte
-22.250525,-45.697457,Maristela
-22.23441,-45.691649,Vista Alegre
-22.237455,-45.697429,Maristela
-22.252594,-45.705899,Pedreira
-22.242348,-45.70426,São Roque
-22.243171,-45.710311,São Roque
-22.26835,-45.708352,São Benedito
-22.246473,-45.716314,São Roque
-22.26934,-45.735212,São João
-22.256384,-45.693385,Ozório Machado
-22.260406,-45.714566,São Roque
-22.251946,-45.728081,São João
-22.271502,-45.707285,Família Andrade
-22.248578,-45.708717,São Benedito
-22.236,-45.683215,Vista Alegre
-22.234318,-45.698531,Vista Alegre
-22.255172,-45.713658,São João
-22.225414,-45.723323,Juquita
-22.251882,-45.701897,Novo Horizonte
-22.250176,-45.701456,Anchieta
-22.242405,-45.697327,Vista Alegre
-22.258249,-45.732699,Arco-Íris
-22.230121,-45.687249,Vista Alegre
-22.263589,-45.694053,Ozório Machado
-22.25422,-45.701935,Pedreira
-22.240781,-45.726754,Eletrônica
-22.266543,-45.727565,Arco-Íris
-22.247473,-45.712877,Juquita
-22.238319,-45.690632,Vista Alegre
-22.265688,-45.715847,Família Andrade
-22.264025,-45.713968,Arco-Íris
-22.264208,-45.718382,São João
-22.245495,-45.702667,São Benedito
-22.240128,-45.687934,Anchieta
-22.234683,-45.711442,Juquita
-22.24401,-45.702462,Anchieta
-22.262611,-45.697594,Fernandes
-22.256301,-45.699017,Maristela
-22.26017,-45.701399,São Benedito
-22.247356,-45.693849,Pedreira
-22.270674,-45.708434,Família Andrade
-22.23671,-45.699782,São João
-22.264945,-45.682167,Por do Sol
-22.253914,-45.711809,Vista Alegre
-22.242352,-45.721972,Juquita
-22.2679,-45.690997,Fernandes
-22.242258,-45.725621,Juquita
-22.246368,-45.696961,Vista Alegre
-22.258339,-45.721057,São João
-22.248814,-45.725364,Eletrônica
