lat,lon,bairro,situacao
-22.254026,-45.713186,Arco-Íris,piscando
-22.256302,-45.69445,Ozório Machado,normal
-22.256994,-45.694466,Ozório Machado,normal
-22.248401,-45.702815,São Benedito,baixa_luminosidade
-22.26455,-45.710366,Arco-Íris,normal
-22.242507,-45.70875,São Roque,normal
-22.24808,-45.706936,Eletrônica,normal
-22.26493,-45.70419,Novo Horizonte,normal
-22.250076,-45.710603,São João,baixa_luminosidade
-22.258998,-45.699128,Por do Sol,normal
-22.252825,-45.710588,Arco-Íris,piscando
-22.245061,-45.696803,Anchieta,baixa_luminosidade
-22.256616,-45.698837,Por do Sol,normal
-22.264295,-45.707066,Fernandes,normal
-22.265138,-45.702096,Novo Horizonte,apagado
-22.254053,-45.714515,Eletrônica,normal
-22.24128,-45.699437,Maristela,normal
-22.241873,-45.698212,Anchieta,normal
-22.243509,-45.699717,Anchieta,normal
-22.244409,-45.697359,Anchieta,normal
-22.247665,-45.696358,São Benedito,normal
-22.264439,-45.707615,Família Andrade,normal
-22.246229,-45.692509,Anchieta,apagado
-22.25722,-45.707495,São João,normal
-22.26097,-45.694733,Por do Sol,apagado
-22.259567,-45.704539,Fernandes,normal
-22.24556,-45.709368,São Roque,baixa_luminosidade
-22.243366,-45.708595,Eletrônica,piscando
-22.254707,-45.699707,Pedreira,piscando
-22.264139,-45.702024,Família Andrade,normal
-22.260852,-45.710961,Arco-Íris,normal
-22.265797,-45.70576,Fernandes,normal
-22.2541,-45.708774,Novo Horizonte,normal
-22.256385,-45.71034,São João,apagado
-22.255459,-45.694548,Ozório Machado,normal
-22.245795,-45.696621,Anchieta,normal
-22.264518,-45.706055,Família Andrade,sem_sinal
-22.239357,-45.701043,Anchieta,normal
-22.244294,-45.695851,Anchieta,piscando
-22.252236,-45.708145,São João,normal
-22.260295,-45.702187,Pedreira,normal
-22.263503,-45.711223,Novo Horizonte,normal
-22.248995,-45.695571,São Benedito,normal
-22.261763,-45.706851,Fernandes,normal
-22.251724,-45.708161,Eletrônica,sem_sinal
-22.234914,-45.711618,São Roque,normal
-22.260405,-45.698721,Pedreira,normal
-22.251103,-45.695878,Anchieta,normal
-22.255838,-45.715979,Arco-Íris,normal
-22.246511,-45.711152,São Roque,normal
-22.263434,-45.706464,Fernandes,normal
-22.260646,-45.70425,Fernandes,normal
-22.246975,-45.694421,Anchieta,apagado
-22.249736,-45.709269,Eletrônica,normal
-22.237261,-45.709308,Maristela,normal
-22.254104,-45.691158,Ozório Machado,baixa_luminosidade
-22.241372,-45.70126,Anchieta,normal
-22.262429,-45.700133,Por do Sol,normal
-22.246105,-45.705706,São Benedito,normal
-22.244713,-45.703269,Maristela,normal
-22.245191,-45.710848,Maristela,normal
-22.255011,-45.697559,Pedreira,apagado
-22.252495,-45.709877,São João,normal
-22.263078,-45.708855,Fernandes,piscando
-22.265659,-45.706484,Fernandes,apagado
-22.245112,-45.696594,Anchieta,normal
-22.26223,-45.706576,Fernandes,apagado
-22.242613,-45.699954,São Roque,normal
-22.254263,-45.706861,Novo Horizonte,baixa_luminosidade
-22.263475,-45.701012,Família Andrade,normal
-22.262552,-45.705241,Família Andrade,normal
-22.261231,-45.71153,Arco-Íris,piscando
-22.260536,-45.698548,Por do Sol,normal
-22.243656,-45.712988,São Roque,sem_sinal
-22.262545,-45.71026,Novo Horizonte,normal
-22.255156,-45.707531,Arco-Íris,normal
-22.265103,-45.706247,Família Andrade,normal
-22.252182,-45.708347,Eletrônica,normal
-22.25002,-45.712072,Eletrônica,normal
-22.24477,-45.706179,Juquita,normal
-22.255786,-45.694934,Ozório Machado,normal
-22.26186,-45.705558,Família Andrade,piscando
-22.238698,-45.700602,Maristela,normal
-22.244063,-45.702847,Maristela,normal
-22.260531,-45.693668,Ozório Machado,normal
-22.257978,-45.706255,Novo Horizonte,normal
-22.235699,-45.709386,Juquita,normal
-22.240613,-45.713234,Juquita,piscando
-22.25249,-45.70567,São Benedito,normal
-22.260502,-45.698417,Pedreira,piscando
-22.244469,-45.705166,Maristela,piscando
-22.241678,-45.70606,São Benedito,piscando
-22.261453,-45.704582,Novo Horizonte,normal
-22.239128,-45.712053,São Roque,apagado
-22.263681,-45.705416,Família Andrade,piscando
-22.265724,-45.706867,Família Andrade,normal
-22.260348,-45.700481,Novo Horizonte,normal
-22.245067,-45.708959,Maristela,baixa_luminosidade
-22.256667,-45.710521,Novo Horizonte,normal
-22.265517,-45.711759,Fernandes,normal
-22.257579,-45.69497,Ozório Machado,normal
-22.265186,-45.70639,Fernandes,normal
-22.237137,-45.705975,Juquita,normal
-22.249372,-45.696692,Anchieta,piscando
-22.248362,-45.704108,São João,piscando
-22.261267,-45.712415,Fernandes,apagado
-22.241369,-45.705997,Juquita,normal
-22.266289,-45.705054,Família Andrade,piscando
-22.24181,-45.707412,Juquita,normal
-22.243423,-45.709744,Maristela,sem_sinal
-22.258188,-45.698092,Pedreira,sem_sinal
-22.256572,-45.702772,Pedreira,normal
-22.242567,-45.701959,Vista Alegre,normal
-22.245901,-45.692959,Anchieta,normal
-22.250114,-45.699655,São Benedito,normal
-22.254637,-45.70261,Pedreira,normal
-22.240814,-45.706204,Juquita,normal
-22.259745,-45.709487,Novo Horizonte,normal
-22.265508,-45.70117,Fernandes,normal
-22.262279,-45.709431,Novo Horizonte,apagado
-22.256877,-45.691897,Ozório Machado,baixa_luminosidade
-22.239566,-45.713241,Juquita,normal
-22.252429,-45.714416,Eletrônica,normal
-22.254917,-45.694368,Por do Sol,piscando
-22.268129,-45.713286,Novo Horizonte,normal
-22.25715,-45.695877,Ozório Machado,normal
-22.257887,-45.700036,Pedreira,piscando
-22.250517,-45.695865,São Benedito,normal
-22.239263,-45.71073,Juquita,normal
-22.236882,-45.710497,Juquita,normal
-22.258547,-45.700581,Família Andrade,normal
-22.250383,-45.696502,São Benedito,normal
-22.238412,-45.70931,Juquita,baixa_luminosidade
-22.251777,-45.692519,Anchieta,apagado
-22.258204,-45.716198,Arco-Íris,normal
-22.256692,-45.700876,Pedreira,normal
-22.256522,-45.691642,Ozório Machado,baixa_luminosidade
-22.261482,-45.703358,Por do Sol,apagado
-22.24236,-45.695401,Anchieta,normal
-22.250136,-45.708992,Eletrônica,apagado
-22.249669,-45.70318,São Benedito,normal
-22.255082,-45.712693,Arco-Íris,normal
-22.258521,-45.709938,Arco-Íris,normal
-22.237256,-45.706049,Maristela,normal
-22.262214,-45.693271,Por do Sol,normal
-22.237484,-45.712765,Juquita,normal
-22.243367,-45.695945,Anchieta,normal
-22.237161,-45.710204,Juquita,baixa_luminosidade
-22.247454,-45.712193,Eletrônica,normal
-22.247305,-45.700945,Anchieta,normal
-22.249637,-45.709066,Arco-Íris,normal
-22.239604,-45.70709,Maristela,piscando
-22.235478,-45.704877,Maristela,normal
-22.263805,-45.709367,Novo Horizonte,piscando
-22.251338,-45.695943,Pedreira,normal
